file_keys,diode-drum-AAoff-1xFs,diode-drum-AAoff-2xFs,diode-drum-AAoff-4xFs,diode-drum-AAoff-8xFs,diode-drum-AAon-1xFs,diode-drum-AAon-2xFs,diode-drum-AAon-4xFs,diode-drum-AAon-8xFs,diode-drum-anchor,diode-drum-reference
lofy8w7eyjlo94vtxjhuntr0ta1weitm,0.9169054441260746,0.7975167144221585,0.7688634192932188,0.5062082139446036,0.04775549188156638,0.5644699140401146,0.4670487106017192,0.6838586437440306,0.010506208213944603,0.9579751671442216
otoirjvbhan7u92utyn4obt0oi0g3d3h,0.30754536771728747,0.26552053486150906,0.2626552053486151,0.2932187201528176,0.3228271251193887,0.24068767908309455,0.224450811843362,0.27793696275071633,0.01623686723973257,0.3447946513849093
2a129q39pcfixcxsfqhd4rjfbi5fslt3,0.6179560649474689,0.9694364851957975,1,0.6552053486150907,0.6418338108882522,0.8567335243553008,0.8930276981852913,0.874880611270296,0.0019102196752626551,0.9847182425978988
wp46y61nlun8a0erx2k5rbz8ziavodne,0.7373447946513849,0.7526265520534862,0.720152817574021,0.731614135625597,0.6934097421203438,0.7277936962750716,0.7449856733524355,0.7096466093600764,0.0028653295128939827,0.7039159503342884
phx0lhv6u3xnuvdedjg9rsk83y9yryxz,0.839541547277937,0.8452722063037249,0.8404966571155683,0.8433619866284623,0.8490926456542502,0.8452722063037249,0.8490926456542502,0.8490926456542502,0,0.8500477554918816
b0rgbr7l6acdnn1p4xk8v344rv1rhces,0.7000955109837631,0.5978987583572111,0.49283667621776506,0.8490926456542502,0.9455587392550143,0.9006685768863419,0.41260744985673353,0.10219675262655205,0,0.16809933142311365
nzf15uulnhs1ttdjfzhsi6gbbbqwty63,0.9617956064947469,0.6552053486150907,0.6246418338108882,0.7344794651384909,0.830945558739255,0.03247373447946514,0.06303724928366762,0.6895893027698186,0.010506208213944603,0.708691499522445
ifuzgvk7z6y22bnuypq4tgt9mivmpnvy,0.5157593123209169,0.5415472779369628,0.4059216809933142,0.8127984718242598,0.37917860553963706,0.7277936962750716,0.6714422158548233,0.5835721107927412,0.019102196752626553,0.3495702005730659
kigrgq1a7zz0t7muiry6fd6nx6otzdgg,0.5004775549188156,0.3333333333333333,0.17096466093600765,0.27889207258834764,0.7736389684813754,0.20630372492836677,0.5864374403056352,0.3734479465138491,0.039159503342884434,0.6743075453677173
mol728qj6rhall03lbjou1bssrjafxpb,0.728748806112703,0.7354345749761223,0.7344794651384909,0.7297039159503342,0.7344794651384909,0.7268385864374403,0.7440305635148042,0.7402101241642789,0.29512893982808025,0.7306590257879656
yr9w85abgz1nug4ub86uar9k3qhcddbz,0.7306590257879656,0.4880611270296084,0.17191977077363896,0.7134670487106017,0.7545367717287488,0.8061127029608405,0.6475644699140402,0.8605539637058262,0.010506208213944603,0.6284622731614136
