file_keys,diode-synth-AAoff-1xFs,diode-synth-AAoff-2xFs,diode-synth-AAoff-4xFs,diode-synth-AAoff-8xFs,diode-synth-AAon-1xFs,diode-synth-AAon-2xFs,diode-synth-AAon-4xFs,diode-synth-AAon-8xFs,diode-synth-anchor,diode-synth-reference
lofy8w7eyjlo94vtxjhuntr0ta1weitm,0.8968481375358166,0.5272206303724928,0.7602674307545367,0.7831900668576887,0.626552053486151,0.5959885386819485,0.8653295128939829,0.6781279847182426,0,0.21967526265520534
otoirjvbhan7u92utyn4obt0oi0g3d3h,0.8500477554918816,0.7621776504297995,0.7373447946513849,0.7860553963705826,0.8720152817574021,0.830945558739255,0.7956064947468959,0.8022922636103151,0.01623686723973257,0.7535816618911175
2a129q39pcfixcxsfqhd4rjfbi5fslt3,0.8051575931232091,0.42311365807067813,0.5214899713467048,0.9952244508118434,0.37917860553963706,0.6752626552053486,0.5902578796561605,0.7029608404966571,0.0009551098376313276,0.7688634192932188
wp46y61nlun8a0erx2k5rbz8ziavodne,0.45558739255014324,0.7335243553008596,0.7574021012416428,0.6800382043935053,0.43361986628462273,0.6571155682903533,0.4078319006685769,0.38013371537726837,0.007640878701050621,0.7000955109837631
phx0lhv6u3xnuvdedjg9rsk83y9yryxz,0.9035339063992359,0.9149952244508118,0.8586437440305635,0.9169054441260746,0.9235912129894938,0.9044890162368673,0.9293218720152817,0.9274116523400191,0,0.9149952244508118
b0rgbr7l6acdnn1p4xk8v344rv1rhces,0.9130850047755492,0.5300859598853869,0.6848137535816619,0.8261700095510984,0.4469914040114613,0.37822349570200575,0.3973256924546323,0.9751671442215855,0.10983763132760267,0.47277936962750716
nzf15uulnhs1ttdjfzhsi6gbbbqwty63,0.8806112702960841,0.8385864374403056,0.23686723973256923,0.9207258834765998,0.9016236867239733,0.8672397325692455,0.8529130850047756,0.9808978032473734,0.009551098376313277,0.9474689589302769
ifuzgvk7z6y22bnuypq4tgt9mivmpnvy,0.6437440305635148,0.6303724928366762,0.6609360076408787,0.6141356255969437,0.5339063992359121,0.6017191977077364,0.6227316141356256,0.6552053486150907,0.030563514804202482,0.5711556829035339
kigrgq1a7zz0t7muiry6fd6nx6otzdgg,0.7421203438395415,0.789875835721108,0.7191977077363897,0.6246418338108882,0.6819484240687679,0.6599808978032474,0.6389684813753582,0.7650429799426934,0,0.6017191977077364
mol728qj6rhall03lbjou1bssrjafxpb,0.7994269340974212,0.7965616045845272,0.8022922636103151,0.8042024832855779,0.7994269340974212,0.8013371537726839,0.8185291308500477,0.8080229226361032,0.3495702005730659,0.8099331423113658
yr9w85abgz1nug4ub86uar9k3qhcddbz,0.7516714422158548,0.6351480420248329,0.9321872015281757,0.725883476599809,0.6609360076408787,0.9656160458452722,0.8510028653295129,0.6074498567335244,0.0009551098376313276,0.7831900668576887
