file_keys,moog-drum-AAoff-1xFs,moog-drum-AAoff-2xFs,moog-drum-AAoff-4xFs,moog-drum-AAoff-8xFs,moog-drum-AAon-1xFs,moog-drum-AAon-2xFs,moog-drum-AAon-4xFs,moog-drum-AAon-8xFs,moog-drum-anchor,moog-drum-reference
lofy8w7eyjlo94vtxjhuntr0ta1weitm,0.5721107927411653,0.6714422158548233,0.5062082139446036,0.5281757402101241,0.7851002865329513,0.6494746895893028,0.5931232091690545,0.5787965616045845,0,0.48615090735434574
otoirjvbhan7u92utyn4obt0oi0g3d3h,0.2282712511938873,0.2531041069723018,0.4804202483285578,0.4297994269340974,0.4145176695319962,0.4469914040114613,0.5291308500477555,0.46131805157593125,0.0038204393505253103,0.4976122254059217
2a129q39pcfixcxsfqhd4rjfbi5fslt3,0.4288443170964661,0.6112702960840497,0.4880611270296084,0.9914040114613181,0.3037249283667622,0.8242597898758357,0.9723018147086915,0.9837631327602674,0,0.7956064947468959
wp46y61nlun8a0erx2k5rbz8ziavodne,0.1041069723018147,0.5940783190066857,0.5692454632282713,0.5472779369627507,0.049665711556829036,0.7029608404966571,0.6074498567335244,0.7182425978987583,0,0.5291308500477555
phx0lhv6u3xnuvdedjg9rsk83y9yryxz,0.5864374403056352,0.6084049665711557,0.5902578796561605,0.5988538681948424,0.6045845272206304,0.6523400191021967,0.5749761222540593,0.5912129894937918,0,0.5845272206303725
b0rgbr7l6acdnn1p4xk8v344rv1rhces,0.19197707736389685,0.7659980897803247,0.9302769818529131,0.4880611270296084,0.25787965616045844,0.4049665711556829,0.33715377268385865,0.8710601719197708,0.015281757402101241,0.44317096466093603
nzf15uulnhs1ttdjfzhsi6gbbbqwty63,0.1251193887297039,0.23686723973256923,0.6275071633237822,0.8825214899713467,0.15472779369627507,0.09455587392550144,0.9188156638013372,0.7574021012416428,0.0028653295128939827,0.7182425978987583
ifuzgvk7z6y22bnuypq4tgt9mivmpnvy,0.26552053486150906,0.2913085004775549,0.32855778414517667,0.4326647564469914,0.5339063992359121,0.30945558739255014,0.49379178605539636,0.5415472779369628,0.02865329512893983,0.5062082139446036
kigrgq1a7zz0t7muiry6fd6nx6otzdgg,0.14040114613180515,0.7172874880611271,0.6466093600764088,0.5787965616045845,0.18051575931232092,0.10792741165234002,0.6829035339063992,0.7535816618911175,0.0038204393505253103,0.6246418338108882
mol728qj6rhall03lbjou1bssrjafxpb,0.49474689589302767,0.5090735434574976,0.5119388729703916,0.498567335243553,0.501432664756447,0.498567335243553,0.498567335243553,0.4899713467048711,0.3247373447946514,0.5100286532951289
yr9w85abgz1nug4ub86uar9k3qhcddbz,0.789875835721108,0.603629417382999,0.7297039159503342,0.8462273161413563,0.10888252148997135,0.6609360076408787,0.6867239732569246,0.76981852913085,0.011461318051575931,0.6341929321872015
