file_keys,moog-guitar-AAoff-1xFs,moog-guitar-AAoff-2xFs,moog-guitar-AAoff-4xFs,moog-guitar-AAoff-8xFs,moog-guitar-AAon-1xFs,moog-guitar-AAon-2xFs,moog-guitar-AAon-4xFs,moog-guitar-AAon-8xFs,moog-guitar-anchor,moog-guitar-reference
lofy8w7eyjlo94vtxjhuntr0ta1weitm,0.22922636103151864,0.7908309455587392,0.7297039159503342,0.8958930276981852,0.30850047755491883,0.8108882521489972,0.3562559694364852,0.5740210124164279,0.0066857688634192934,0.9169054441260746
otoirjvbhan7u92utyn4obt0oi0g3d3h,0.1766953199617956,0.6781279847182426,0.6895893027698186,0.6953199617956065,0.15377268385864373,0.25787965616045844,0.7688634192932188,0.7182425978987583,0,0.7497612225405922
2a129q39pcfixcxsfqhd4rjfbi5fslt3,0.19961795606494748,0.7917860553963706,0.8691499522445081,0.9627507163323782,0.1413562559694365,0.33046800382043934,0.9379178605539638,0.8911174785100286,0.008595988538681949,0.8233046800382043
wp46y61nlun8a0erx2k5rbz8ziavodne,0.1069723018147087,0.32664756446991405,0.44126074498567336,0.5606494746895893,0.07831900668576887,0.3734479465138491,0.41260744985673353,0.5950334288443171,0.008595988538681949,0.39350525310410694
phx0lhv6u3xnuvdedjg9rsk83y9yryxz,0.24641833810888253,0.6437440305635148,0.6914995224450812,0.8624641833810889,0.2597898758357211,0.5921680993314231,0.8127984718242598,0.6112702960840497,0.0057306590257879654,0.836676217765043
b0rgbr7l6acdnn1p4xk8v344rv1rhces,0.02005730659025788,0.04297994269340974,0.7010506208213945,0.7994269340974212,0.07831900668576887,0.1929321872015282,0.38872970391595035,0.5730659025787965,0,0.9474689589302769
nzf15uulnhs1ttdjfzhsi6gbbbqwty63,0.049665711556829036,0.16332378223495703,0.7956064947468959,0.833810888252149,0.06303724928366762,0.20916905444126074,0.9694364851957975,0.6981852913085005,0.0019102196752626551,0.7459407831900668
ifuzgvk7z6y22bnuypq4tgt9mivmpnvy,0.18911174785100288,0.6609360076408787,0.46609360076408785,0.5243553008595988,0.14231136580706782,0.6351480420248329,0.6876790830945558,0.612225405921681,0.029608404966571154,0.5644699140401146
kigrgq1a7zz0t7muiry6fd6nx6otzdgg,0.045845272206303724,0.38968481375358166,0.4794651384909265,0.44126074498567336,0.021012416427889206,0.1451766953199618,0.5444126074498568,0.711556829035339,0,0.6380133715377269
mol728qj6rhall03lbjou1bssrjafxpb,0.5692454632282713,0.5023877745940784,0.5893027698185291,0.3495702005730659,0.3553008595988539,0.38204393505253104,0.5023877745940784,0.49283667621776506,0.07545367717287488,0.3772683858643744
yr9w85abgz1nug4ub86uar9k3qhcddbz,0.049665711556829036,0.7306590257879656,0.7975167144221585,0.46609360076408785,0.1308500477554919,0.2636103151862464,0.6170009551098377,1,0.0009551098376313276,0.3524355300859599
