file_keys,moog-synth-AAoff-1xFs,moog-synth-AAoff-2xFs,moog-synth-AAoff-4xFs,moog-synth-AAoff-8xFs,moog-synth-AAon-1xFs,moog-synth-AAon-2xFs,moog-synth-AAon-4xFs,moog-synth-AAon-8xFs,moog-synth-anchor,moog-synth-reference
lofy8w7eyjlo94vtxjhuntr0ta1weitm,0.15950334288443171,0.8185291308500477,0.5530085959885387,0.6112702960840497,0.12416427889207259,0.8691499522445081,0.8997134670487106,0.7574021012416428,0.0009551098376313276,0.8042024832855779
otoirjvbhan7u92utyn4obt0oi0g3d3h,0.2282712511938873,0.3600764087870105,0.7745940783190067,0.7526265520534862,0.2511938872970392,0.38299904489016234,0.7297039159503342,0.6857688634192932,0.02005730659025788,0.7096466093600764
2a129q39pcfixcxsfqhd4rjfbi5fslt3,0.20152817574021012,0.4393505253104107,0.9885386819484241,0.9713467048710601,0.1518624641833811,0.4813753581661891,0.9656160458452722,0.9799426934097422,0,1
wp46y61nlun8a0erx2k5rbz8ziavodne,0.16427889207258833,0.276981852913085,0.8013371537726839,0.8681948424068768,0.14995224450811842,0.23400191021967526,0.7707736389684814,0.8213944603629417,0.0019102196752626551,0.8471824259789876
phx0lhv6u3xnuvdedjg9rsk83y9yryxz,0.04775549188156638,0.13276026743075453,0.8385864374403056,0.8557784145176696,0.08500477554918816,0.25501432664756446,0.8242597898758357,0.8481375358166189,0,0.836676217765043
b0rgbr7l6acdnn1p4xk8v344rv1rhces,0.033428844317096466,0.05348615090735435,0.5940783190066857,0.958930276981853,0.015281757402101241,0.24737344794651384,0.8242597898758357,0.6857688634192932,0,0.4689589302769819
nzf15uulnhs1ttdjfzhsi6gbbbqwty63,0.044890162368672396,0.13658070678127984,0.8261700095510984,0.8681948424068768,0.07831900668576887,0.17860553963705827,0.9723018147086915,0.9321872015281757,0,0.9044890162368673
ifuzgvk7z6y22bnuypq4tgt9mivmpnvy,0.044890162368672396,0.4918815663801337,0.6523400191021967,0.9207258834765998,0.07640878701050621,0.4269340974212034,0.828080229226361,0.8901623686723973,0.015281757402101241,0.5873925501432665
kigrgq1a7zz0t7muiry6fd6nx6otzdgg,0.033428844317096466,0.1174785100286533,0.8997134670487106,0.8796561604584527,0.13658070678127984,0.0830945558739255,0.8223495702005731,0.8376313276026743,0.008595988538681949,0.8634192932187201
mol728qj6rhall03lbjou1bssrjafxpb,0.38872970391595035,0.49665711556829034,0.5405921680993314,0.48233046800382046,0.13944603629417382,0.45081184336198665,0.49474689589302767,0.4794651384909265,0.0038204393505253103,0.48424068767908307
yr9w85abgz1nug4ub86uar9k3qhcddbz,0.08787010506208214,0.11938872970391595,0.8930276981852913,0.8013371537726839,0.049665711556829036,0.3256924546322827,0.87774594078319,0.8443170964660937,0.004775549188156638,1
